earliest_execution,signal_available_after,signal_date,snapshot_frequency,trade_date
trade_date open,signal_date close,2022-08-26,weekly,2022-08-29
trade_date open,signal_date close,2022-09-02,weekly,2022-09-05
trade_date open,signal_date close,2022-09-09,weekly,2022-09-13
trade_date open,signal_date close,2022-09-16,weekly,2022-09-19
trade_date open,signal_date close,2022-09-23,weekly,2022-09-26
trade_date open,signal_date close,2022-09-30,weekly,2022-10-10
trade_date open,signal_date close,2022-10-14,weekly,2022-10-17
trade_date open,signal_date close,2022-10-21,weekly,2022-10-24
trade_date open,signal_date close,2022-10-28,weekly,2022-10-31
trade_date open,signal_date close,2022-11-04,weekly,2022-11-07
trade_date open,signal_date close,2022-11-11,weekly,2022-11-14
trade_date open,signal_date close,2022-11-18,weekly,2022-11-21
trade_date open,signal_date close,2022-11-25,weekly,2022-11-28
trade_date open,signal_date close,2022-12-02,weekly,2022-12-05
trade_date open,signal_date close,2022-12-09,weekly,2022-12-12
trade_date open,signal_date close,2022-12-16,weekly,2022-12-19
trade_date open,signal_date close,2022-12-23,weekly,2022-12-26
trade_date open,signal_date close,2022-12-30,weekly,2023-01-03
trade_date open,signal_date close,2023-01-06,weekly,2023-01-09
trade_date open,signal_date close,2023-01-13,weekly,2023-01-16
trade_date open,signal_date close,2023-01-20,weekly,2023-01-30
trade_date open,signal_date close,2023-02-03,weekly,2023-02-06
trade_date open,signal_date close,2023-02-10,weekly,2023-02-13
trade_date open,signal_date close,2023-02-17,weekly,2023-02-20
trade_date open,signal_date close,2023-02-24,weekly,2023-02-27
trade_date open,signal_date close,2023-03-03,weekly,2023-03-06
trade_date open,signal_date close,2023-03-10,weekly,2023-03-13
trade_date open,signal_date close,2023-03-17,weekly,2023-03-20
trade_date open,signal_date close,2023-03-24,weekly,2023-03-27
trade_date open,signal_date close,2023-03-31,weekly,2023-04-03
trade_date open,signal_date close,2023-04-07,weekly,2023-04-10
trade_date open,signal_date close,2023-04-14,weekly,2023-04-17
trade_date open,signal_date close,2023-04-21,weekly,2023-04-24
trade_date open,signal_date close,2023-04-28,weekly,2023-05-04
trade_date open,signal_date close,2023-05-05,weekly,2023-05-08
trade_date open,signal_date close,2023-05-12,weekly,2023-05-15
trade_date open,signal_date close,2023-05-19,weekly,2023-05-22
trade_date open,signal_date close,2023-05-26,weekly,2023-05-29
trade_date open,signal_date close,2023-06-02,weekly,2023-06-05
trade_date open,signal_date close,2023-06-09,weekly,2023-06-12
trade_date open,signal_date close,2023-06-16,weekly,2023-06-19
trade_date open,signal_date close,2023-06-21,weekly,2023-06-26
trade_date open,signal_date close,2023-06-30,weekly,2023-07-03
trade_date open,signal_date close,2023-07-07,weekly,2023-07-10
trade_date open,signal_date close,2023-07-14,weekly,2023-07-17
trade_date open,signal_date close,2023-07-21,weekly,2023-07-24
trade_date open,signal_date close,2023-07-28,weekly,2023-07-31
trade_date open,signal_date close,2023-08-04,weekly,2023-08-07
trade_date open,signal_date close,2023-08-11,weekly,2023-08-14
trade_date open,signal_date close,2023-08-18,weekly,2023-08-21
trade_date open,signal_date close,2023-08-25,weekly,2023-08-28
trade_date open,signal_date close,2023-09-01,weekly,2023-09-04
trade_date open,signal_date close,2023-09-08,weekly,2023-09-11
trade_date open,signal_date close,2023-09-15,weekly,2023-09-18
trade_date open,signal_date close,2023-09-22,weekly,2023-09-25
trade_date open,signal_date close,2023-09-28,weekly,2023-10-09
trade_date open,signal_date close,2023-10-13,weekly,2023-10-16
trade_date open,signal_date close,2023-10-20,weekly,2023-10-23
trade_date open,signal_date close,2023-10-27,weekly,2023-10-30
trade_date open,signal_date close,2023-11-03,weekly,2023-11-06
trade_date open,signal_date close,2023-11-10,weekly,2023-11-13
trade_date open,signal_date close,2023-11-17,weekly,2023-11-20
trade_date open,signal_date close,2023-11-24,weekly,2023-11-27
trade_date open,signal_date close,2023-12-01,weekly,2023-12-04
trade_date open,signal_date close,2023-12-08,weekly,2023-12-11
trade_date open,signal_date close,2023-12-15,weekly,2023-12-18
trade_date open,signal_date close,2023-12-22,weekly,2023-12-25
trade_date open,signal_date close,2023-12-29,weekly,2024-01-02
trade_date open,signal_date close,2024-01-05,weekly,2024-01-08
trade_date open,signal_date close,2024-01-12,weekly,2024-01-15
trade_date open,signal_date close,2024-01-19,weekly,2024-01-22
trade_date open,signal_date close,2024-01-26,weekly,2024-01-29
trade_date open,signal_date close,2024-02-02,weekly,2024-02-05
trade_date open,signal_date close,2024-02-08,weekly,2024-02-19
trade_date open,signal_date close,2024-02-23,weekly,2024-02-26
trade_date open,signal_date close,2024-03-01,weekly,2024-03-04
trade_date open,signal_date close,2024-03-08,weekly,2024-03-11
trade_date open,signal_date close,2024-03-15,weekly,2024-03-18
trade_date open,signal_date close,2024-03-22,weekly,2024-03-25
trade_date open,signal_date close,2024-03-29,weekly,2024-04-01
trade_date open,signal_date close,2024-04-03,weekly,2024-04-08
trade_date open,signal_date close,2024-04-12,weekly,2024-04-15
trade_date open,signal_date close,2024-04-19,weekly,2024-04-22
trade_date open,signal_date close,2024-04-26,weekly,2024-04-29
trade_date open,signal_date close,2024-04-30,weekly,2024-05-06
trade_date open,signal_date close,2024-05-10,weekly,2024-05-13
trade_date open,signal_date close,2024-05-17,weekly,2024-05-20
trade_date open,signal_date close,2024-05-24,weekly,2024-05-27
trade_date open,signal_date close,2024-05-31,weekly,2024-06-03
trade_date open,signal_date close,2024-06-07,weekly,2024-06-11
trade_date open,signal_date close,2024-06-14,weekly,2024-06-17
trade_date open,signal_date close,2024-06-21,weekly,2024-06-24
trade_date open,signal_date close,2024-06-28,weekly,2024-07-01
trade_date open,signal_date close,2024-07-05,weekly,2024-07-08
trade_date open,signal_date close,2024-07-12,weekly,2024-07-15
trade_date open,signal_date close,2024-07-19,weekly,2024-07-22
trade_date open,signal_date close,2024-07-26,weekly,2024-07-29
trade_date open,signal_date close,2024-08-02,weekly,2024-08-05
trade_date open,signal_date close,2024-08-09,weekly,2024-08-12
trade_date open,signal_date close,2024-08-16,weekly,2024-08-19
trade_date open,signal_date close,2024-08-23,weekly,2024-08-26
trade_date open,signal_date close,2024-08-30,weekly,2024-09-02
trade_date open,signal_date close,2024-09-06,weekly,2024-09-09
trade_date open,signal_date close,2024-09-13,weekly,2024-09-18
trade_date open,signal_date close,2024-09-20,weekly,2024-09-23
trade_date open,signal_date close,2024-09-27,weekly,2024-09-30
trade_date open,signal_date close,2024-09-30,weekly,2024-10-08
trade_date open,signal_date close,2024-10-11,weekly,2024-10-14
trade_date open,signal_date close,2024-10-18,weekly,2024-10-21
trade_date open,signal_date close,2024-10-25,weekly,2024-10-28
trade_date open,signal_date close,2024-11-01,weekly,2024-11-04
trade_date open,signal_date close,2024-11-08,weekly,2024-11-11
trade_date open,signal_date close,2024-11-15,weekly,2024-11-18
trade_date open,signal_date close,2024-11-22,weekly,2024-11-25
trade_date open,signal_date close,2024-11-29,weekly,2024-12-02
trade_date open,signal_date close,2024-12-06,weekly,2024-12-09
trade_date open,signal_date close,2024-12-13,weekly,2024-12-16
trade_date open,signal_date close,2024-12-20,weekly,2024-12-23
trade_date open,signal_date close,2024-12-27,weekly,2024-12-30
trade_date open,signal_date close,2025-01-03,weekly,2025-01-06
trade_date open,signal_date close,2025-01-10,weekly,2025-01-13
trade_date open,signal_date close,2025-01-17,weekly,2025-01-20
trade_date open,signal_date close,2025-01-24,weekly,2025-01-27
trade_date open,signal_date close,2025-01-27,weekly,2025-02-05
trade_date open,signal_date close,2025-02-07,weekly,2025-02-10
trade_date open,signal_date close,2025-02-14,weekly,2025-02-17
trade_date open,signal_date close,2025-02-21,weekly,2025-02-24
trade_date open,signal_date close,2025-02-28,weekly,2025-03-03
trade_date open,signal_date close,2025-03-07,weekly,2025-03-10
trade_date open,signal_date close,2025-03-14,weekly,2025-03-17
trade_date open,signal_date close,2025-03-21,weekly,2025-03-24
trade_date open,signal_date close,2025-03-28,weekly,2025-03-31
trade_date open,signal_date close,2025-04-03,weekly,2025-04-07
trade_date open,signal_date close,2025-04-11,weekly,2025-04-14
trade_date open,signal_date close,2025-04-18,weekly,2025-04-21
trade_date open,signal_date close,2025-04-25,weekly,2025-04-28
trade_date open,signal_date close,2025-04-30,weekly,2025-05-06
trade_date open,signal_date close,2025-05-09,weekly,2025-05-12
trade_date open,signal_date close,2025-05-16,weekly,2025-05-19
trade_date open,signal_date close,2025-05-23,weekly,2025-05-26
trade_date open,signal_date close,2025-05-30,weekly,2025-06-03
trade_date open,signal_date close,2025-06-06,weekly,2025-06-09
trade_date open,signal_date close,2025-06-13,weekly,2025-06-16
trade_date open,signal_date close,2025-06-20,weekly,2025-06-23
trade_date open,signal_date close,2025-06-27,weekly,2025-06-30
trade_date open,signal_date close,2025-07-04,weekly,2025-07-07
trade_date open,signal_date close,2025-07-11,weekly,2025-07-14
trade_date open,signal_date close,2025-07-18,weekly,2025-07-21
trade_date open,signal_date close,2025-07-25,weekly,2025-07-28
trade_date open,signal_date close,2025-08-01,weekly,2025-08-04
trade_date open,signal_date close,2025-08-08,weekly,2025-08-11
trade_date open,signal_date close,2025-08-15,weekly,2025-08-18
trade_date open,signal_date close,2025-08-22,weekly,2025-08-25
trade_date open,signal_date close,2025-08-29,weekly,2025-09-01
trade_date open,signal_date close,2025-09-05,weekly,2025-09-08
trade_date open,signal_date close,2025-09-12,weekly,2025-09-15
trade_date open,signal_date close,2025-09-19,weekly,2025-09-22
trade_date open,signal_date close,2025-09-26,weekly,2025-09-29
trade_date open,signal_date close,2025-09-30,weekly,2025-10-09
trade_date open,signal_date close,2025-10-10,weekly,2025-10-13
trade_date open,signal_date close,2025-10-17,weekly,2025-10-20
trade_date open,signal_date close,2025-10-24,weekly,2025-10-27
trade_date open,signal_date close,2025-10-31,weekly,2025-11-03
trade_date open,signal_date close,2025-11-07,weekly,2025-11-10
trade_date open,signal_date close,2025-11-14,weekly,2025-11-17
trade_date open,signal_date close,2025-11-21,weekly,2025-11-24
trade_date open,signal_date close,2025-11-28,weekly,2025-12-01
trade_date open,signal_date close,2025-12-05,weekly,2025-12-08
trade_date open,signal_date close,2025-12-12,weekly,2025-12-15
trade_date open,signal_date close,2025-12-19,weekly,2025-12-22
trade_date open,signal_date close,2025-12-26,weekly,2025-12-29
trade_date open,signal_date close,2025-12-31,weekly,2026-01-05
trade_date open,signal_date close,2026-01-09,weekly,2026-01-12
trade_date open,signal_date close,2026-01-16,weekly,2026-01-19
trade_date open,signal_date close,2026-01-23,weekly,2026-01-26
trade_date open,signal_date close,2026-01-30,weekly,2026-02-02
trade_date open,signal_date close,2026-02-06,weekly,2026-02-09
trade_date open,signal_date close,2026-02-13,weekly,2026-02-24
trade_date open,signal_date close,2026-02-27,weekly,2026-03-02
trade_date open,signal_date close,2026-03-06,weekly,2026-03-09
trade_date open,signal_date close,2026-03-13,weekly,2026-03-16
trade_date open,signal_date close,2026-03-20,weekly,2026-03-23
trade_date open,signal_date close,2026-03-27,weekly,2026-03-30
trade_date open,signal_date close,2026-04-03,weekly,2026-04-07
trade_date open,signal_date close,2026-04-10,weekly,2026-04-13
trade_date open,signal_date close,2026-04-17,weekly,2026-04-20
trade_date open,signal_date close,2026-04-24,weekly,2026-04-27
trade_date open,signal_date close,2026-04-30,weekly,2026-05-06
trade_date open,signal_date close,2026-05-08,weekly,2026-05-11
trade_date open,signal_date close,2026-05-15,weekly,2026-05-18
trade_date open,signal_date close,2026-05-22,weekly,2026-05-25
trade_date open,signal_date close,2026-05-29,weekly,2026-06-01
trade_date open,signal_date close,2026-06-05,weekly,2026-06-08
trade_date open,signal_date close,2026-06-12,weekly,2026-06-15
trade_date open,signal_date close,2026-06-18,weekly,2026-06-22
trade_date open,signal_date close,2026-06-26,weekly,2026-06-29
